 time            v(out)          time            v(outpl)        time            v(outdrl)       time            v(outdrlpl)    
 1.11436953e-01  6.67882145e-01  1.11436953e-01  6.38825110e-01  1.11436953e-01  7.37399559e-01  1.11436953e-01  7.40532422e-01 
 1.12436953e-01  6.64585705e-01  1.12436953e-01  6.35735020e-01  1.12436953e-01  7.59968017e-01  1.12436953e-01  7.63255465e-01 
 1.13436953e-01  6.61703853e-01  1.13436953e-01  6.33011277e-01  1.13436953e-01  7.76627629e-01  1.13436953e-01  7.80015286e-01 
 1.14436953e-01  6.59289313e-01  1.14436953e-01  6.30697751e-01  1.14436953e-01  7.85723105e-01  1.14436953e-01  7.89161931e-01 
 1.15436953e-01  6.57372552e-01  1.15436953e-01  6.28819917e-01  1.15436953e-01  7.86358120e-01  1.15436953e-01  7.89802463e-01 
 1.16436953e-01  6.55950694e-01  1.16436953e-01  6.27375658e-01  1.16436953e-01  7.78467613e-01  1.16436953e-01  7.81871384e-01 
 1.17436953e-01  6.54996567e-01  1.17436953e-01  6.26342601e-01  1.17436953e-01  7.62832519e-01  1.17436953e-01  7.66147342e-01 
 1.18436953e-01  6.54456392e-01  1.18436953e-01  6.25676994e-01  1.18436953e-01  7.41000989e-01  1.18436953e-01  7.44170751e-01 
 1.19436953e-01  6.54265651e-01  1.19436953e-01  6.25326856e-01  1.19436953e-01  7.15153792e-01  1.19436953e-01  7.18120895e-01 
 1.20436953e-01  6.54342907e-01  1.20436953e-01  6.25227213e-01  1.20436953e-01  6.87863906e-01  1.20436953e-01  6.90601142e-01 
 1.21436953e-01  6.54593526e-01  1.21436953e-01  6.25302535e-01  1.21436953e-01  6.61813636e-01  1.21436953e-01  6.64335965e-01 
 1.22436953e-01  6.54910600e-01  1.22436953e-01  6.25466205e-01  1.22436953e-01  6.39524601e-01  1.22436953e-01  6.41872963e-01 
 1.23436953e-01  6.55194787e-01  1.23436953e-01  6.25636154e-01  1.23436953e-01  6.23132422e-01  1.23436953e-01  6.25358613e-01 
 1.24436953e-01  6.55365155e-01  1.24436953e-01  6.25744148e-01  1.24436953e-01  6.14199086e-01  1.24436953e-01  6.16359864e-01 
 1.25436953e-01  6.55378525e-01  1.25436953e-01  6.25753111e-01  1.25436953e-01  6.13576607e-01  1.25436953e-01  6.15730850e-01 
 1.26436953e-01  6.55230010e-01  1.26436953e-01  6.25658860e-01  1.26436953e-01  6.21321589e-01  1.26436953e-01  6.23527945e-01 
 1.27436953e-01  6.54961826e-01  1.27436953e-01  6.25497978e-01  1.27436953e-01  6.36702978e-01  1.27436953e-01  6.39019828e-01 
 1.28436953e-01  6.54644927e-01  1.28436953e-01  6.25329939e-01  1.28436953e-01  6.58245188e-01  1.28436953e-01  6.60725581e-01 
 1.29436953e-01  6.54380866e-01  1.29436953e-01  6.25239294e-01  1.29436953e-01  6.83892023e-01  1.29436953e-01  6.86580865e-01 
 1.30436953e-01  6.54275489e-01  1.30436953e-01  6.25311696e-01  1.30436953e-01  7.11169490e-01  1.30436953e-01  7.14088602e-01 
 1.31436953e-01  6.54426745e-01  1.31436953e-01  6.25625613e-01  1.31436953e-01  7.37398892e-01  1.31436953e-01  7.40526777e-01 
 1.32436953e-01  6.54914535e-01  1.32436953e-01  6.26244591e-01  1.32436953e-01  7.59967566e-01  1.32436953e-01  7.63251379e-01 
 1.33436953e-01  6.55809416e-01  1.33436953e-01  6.27225627e-01  1.33436953e-01  7.76627353e-01  1.33436953e-01  7.80012771e-01 
 1.34436953e-01  6.57164302e-01  1.34436953e-01  6.28611488e-01  1.34436953e-01  7.85722999e-01  1.34436953e-01  7.89161021e-01 
 1.35436953e-01  6.59013515e-01  1.35436953e-01  6.30430446e-01  1.35436953e-01  7.86358200e-01  1.35436953e-01  7.89803152e-01 
 1.36436953e-01  6.61360138e-01  1.36436953e-01  6.32684809e-01  1.36436953e-01  7.78467860e-01  1.36436953e-01  7.81873688e-01 
 1.37436953e-01  6.64181369e-01  1.37436953e-01  6.35355436e-01  1.37436953e-01  7.62832949e-01  1.37436953e-01  7.66151218e-01 
 1.38436953e-01  6.67424136e-01  1.38436953e-01  6.38398106e-01  1.38436953e-01  7.41001579e-01  1.38436953e-01  7.44176148e-01 
 1.39436953e-01  6.71018261e-01  1.39436953e-01  6.41754758e-01  1.39436953e-01  7.15154546e-01  1.39436953e-01  7.18127668e-01 
 1.40436953e-01  6.74869117e-01  1.40436953e-01  6.45346978e-01  1.40436953e-01  6.87864788e-01  1.40436953e-01  6.90609133e-01 
 1.41436953e-01  6.78859440e-01  1.41436953e-01  6.49077333e-01  1.41436953e-01  6.61815630e-01  1.41436953e-01  6.64346427e-01 
 1.42436953e-01  6.82849249e-01  1.42436953e-01  6.52828075e-01  1.42436953e-01  6.39525675e-01  1.42436953e-01  6.41882930e-01 
 1.43436953e-01  6.86702362e-01  1.43436953e-01  6.56482313e-01  1.43436953e-01  6.23133591e-01  1.43436953e-01  6.25369531e-01 
 1.44436953e-01  6.90298453e-01  1.44436953e-01  6.59934864e-01  1.44436953e-01  6.14200319e-01  1.44436953e-01  6.16371741e-01 
 1.45436953e-01  6.93557993e-01  1.45436953e-01  6.63114625e-01  1.45436953e-01  6.13577901e-01  1.45436953e-01  6.15743732e-01 
 1.46436953e-01  6.96445470e-01  1.46436953e-01  6.65988534e-01  1.46436953e-01  6.21322918e-01  1.46436953e-01  6.23541952e-01 
 1.47436953e-01  6.98980922e-01  1.47436953e-01  6.68571696e-01  1.47436953e-01  6.36700499e-01  1.47436953e-01  6.39030524e-01 
 1.48436953e-01  7.01228488e-01  1.48436953e-01  6.70916753e-01  1.48436953e-01  6.58243442e-01  1.48436953e-01  6.60738493e-01 
 1.49436953e-01  7.03293611e-01  1.49436953e-01  6.73110705e-01  1.49436953e-01  6.83893407e-01  1.49436953e-01  6.86598901e-01 
 1.50436953e-01  7.05296813e-01  1.50436953e-01  6.75252469e-01  1.50436953e-01  7.11170722e-01  1.50436953e-01  7.14107849e-01 
 1.51436953e-01  7.07359672e-01  1.51436953e-01  6.77442052e-01  1.51436953e-01  7.37400154e-01  1.51436953e-01  7.40547281e-01 
 1.52436953e-01  7.09585166e-01  1.52436953e-01  6.79764318e-01  1.52436953e-01  7.59968716e-01  1.52436953e-01  7.63272684e-01 
 1.53436953e-01  7.12066461e-01  1.53436953e-01  6.82297231e-01  1.53436953e-01  7.76628400e-01  1.53436953e-01  7.80034622e-01 
 1.54436953e-01  7.14874221e-01  1.54436953e-01  6.85100611e-01  1.54436953e-01  7.85723905e-01  1.54436953e-01  7.89183297e-01 
 1.55436953e-01  7.18054410e-01  1.55436953e-01  6.88213884e-01  1.55436953e-01  7.86358973e-01  1.55436953e-01  7.89825715e-01 
 1.56436953e-01  7.21611146e-01  1.56436953e-01  6.91641033e-01  1.56436953e-01  7.78468471e-01  1.56436953e-01  7.81896466e-01 
 1.57436953e-01  7.25512167e-01  1.57436953e-01  6.95354909e-01  1.57436953e-01  7.62833404e-01  1.57436953e-01  7.66174057e-01 
 1.58436953e-01  7.29683440e-01  1.58436953e-01  6.99292583e-01  1.58436953e-01  7.41001853e-01  1.58436953e-01  7.44198810e-01 
 1.59436953e-01  7.34025462e-01  1.59436953e-01  7.03369363e-01  1.59436953e-01  7.15155016e-01  1.59436953e-01  7.18150581e-01 
 1.60436953e-01  7.38404865e-01  1.60436953e-01  7.07471396e-01  1.60436953e-01  6.87864684e-01  1.60436953e-01  6.90630277e-01 
 1.61436953e-01  7.42660684e-01  1.61436953e-01  7.11460163e-01  1.61436953e-01  6.61815395e-01  1.61436953e-01  6.64366628e-01 
 1.62436953e-01  7.46608275e-01  1.62436953e-01  7.15174778e-01  1.62436953e-01  6.39525258e-01  1.62436953e-01  6.41902148e-01 
 1.63436953e-01  7.50075993e-01  1.63436953e-01  7.18463331e-01  1.63436953e-01  6.23133030e-01  1.63436953e-01  6.25387882e-01 
 1.64436953e-01  7.52922298e-01  1.64436953e-01  7.21198033e-01  1.64436953e-01  6.14199607e-01  1.64436953e-01  6.16389416e-01 
 1.65436953e-01  7.55062940e-01  1.65436953e-01  7.23300666e-01  1.65436953e-01  6.13577062e-01  1.65436953e-01  6.15760870e-01 
 1.66436953e-01  7.56471540e-01  1.66436953e-01  7.24745007e-01  1.66436953e-01  6.21321941e-01  1.66436953e-01  6.23558748e-01 
 1.67436953e-01  7.57191329e-01  1.67436953e-01  7.25567182e-01  1.67436953e-01  6.36699407e-01  1.67436953e-01  6.39047074e-01 
 1.68436953e-01  7.57321204e-01  1.68436953e-01  7.25852863e-01  1.68436953e-01  6.58242229e-01  1.68436953e-01  6.60754900e-01 
 1.69436953e-01  7.57010515e-01  1.69436953e-01  7.25732080e-01  1.69436953e-01  6.83892110e-01  1.69436953e-01  6.86615133e-01 
 1.70436953e-01  7.56426337e-01  1.70436953e-01  7.25349512e-01  1.70436953e-01  7.11169348e-01  1.70436953e-01  7.14123835e-01 
 1.71436953e-01  7.55731593e-01  1.71436953e-01  7.24846237e-01  1.71436953e-01  7.37397099e-01  1.71436953e-01  7.40561338e-01 
 1.72436953e-01  7.55064076e-01  1.72436953e-01  7.24341570e-01  1.72436953e-01  7.59967379e-01  1.72436953e-01  7.63287404e-01 
 1.73436953e-01  7.54538209e-01  1.73436953e-01  7.23934992e-01  1.73436953e-01  7.76626971e-01  1.73436953e-01  7.80048287e-01 
 1.74436953e-01  7.54239265e-01  1.74436953e-01  7.23701108e-01  1.74436953e-01  7.85722530e-01  1.74436953e-01  7.89195931e-01 
 1.75436953e-01  7.54218243e-01  1.75436953e-01  7.23684450e-01  1.75436953e-01  7.86357656e-01  1.75436953e-01  7.89837232e-01 
 1.76436953e-01  7.54476087e-01  1.76436953e-01  7.23885853e-01  1.76436953e-01  7.78467220e-01  1.76436953e-01  7.81906883e-01 
 1.77436953e-01  7.54972292e-01  1.77436953e-01  7.24269893e-01  1.77436953e-01  7.62832252e-01  1.77436953e-01  7.66183269e-01 
