 time            v(out)          time            v(outpl)       
 1.67500000e-01  9.12371254e-01  1.67500000e-01  8.80239537e-01 
 1.68500000e-01  9.11145139e-01  1.68500000e-01  8.78899219e-01 
 1.69500000e-01  9.09715097e-01  1.69500000e-01  8.77341195e-01 
 1.70500000e-01  9.08209795e-01  1.70500000e-01  8.75708142e-01 
 1.71500000e-01  9.06765835e-01  1.71500000e-01  8.74148559e-01 
 1.72500000e-01  9.05515721e-01  1.72500000e-01  8.72804206e-01 
 1.73500000e-01  9.04576205e-01  1.73500000e-01  8.71798181e-01 
 1.74500000e-01  9.04035240e-01  1.74500000e-01  8.71222634e-01 
 1.75500000e-01  9.03940995e-01  1.75500000e-01  8.71127597e-01 
 1.76500000e-01  9.04294127e-01  1.76500000e-01  8.71513784e-01 
 1.77500000e-01  9.05048023e-01  1.77500000e-01  8.72332685e-01 
 1.78500000e-01  9.06115828e-01  1.78500000e-01  8.73493503e-01 
 1.79500000e-01  9.07382049e-01  1.79500000e-01  8.74874172e-01 
 1.80000000e-01  9.08048441e-01  1.80000000e-01  8.75603027e-01 
 1.80100000e-01  9.08171197e-01  1.80100000e-01  8.75738548e-01 
 1.80300000e-01  9.08415860e-01  1.80300000e-01  8.76008703e-01 
 1.80700000e-01  9.08898833e-01  1.80700000e-01  8.76543071e-01 
 1.81500000e-01  9.09809730e-01  1.81500000e-01  8.77554817e-01 
 1.82500000e-01  9.10761033e-01  1.82500000e-01  8.78619161e-01 
 1.83500000e-01  9.11400916e-01  1.83500000e-01  8.79344211e-01 
 1.84500000e-01  9.11646512e-01  1.84500000e-01  8.79635384e-01 
 1.85500000e-01  9.11452942e-01  1.85500000e-01  8.79440956e-01 
 1.86500000e-01  9.10818535e-01  1.86500000e-01  8.78759265e-01 
 1.87500000e-01  9.09785263e-01  1.87500000e-01  8.77639044e-01 
 1.88500000e-01  9.08433762e-01  1.88500000e-01  8.76172732e-01 
 1.89500000e-01  9.06874934e-01  1.89500000e-01  8.74485430e-01 
 1.90500000e-01  9.05239365e-01  1.90500000e-01  8.72721566e-01 
