 frequency       gain_db        
 5.01187234e+03  5.36864109e+01 
 6.30957344e+03  5.28350097e+01 
 7.94328235e+03  5.17556322e+01 
 1.00000000e+04  5.04562579e+01 
 1.25892541e+04  4.89646019e+01 
 1.58489319e+04  4.73189413e+01 
 1.99526231e+04  4.55583698e+01 
 2.51188643e+04  4.37165280e+01 
 3.16227766e+04  4.18193701e+01 
 3.98107171e+04  3.98855422e+01 
 5.01187234e+04  3.79278322e+01 
 6.30957344e+04  3.59547527e+01 
 7.94328235e+04  3.39718650e+01 
 1.00000000e+05  3.19827638e+01 
 1.25892541e+05  2.99897623e+01 
 1.58489319e+05  2.79943559e+01 
 1.99526231e+05  2.59975302e+01 
 2.51188643e+05  2.39999680e+01 
 3.16227766e+05  2.20021945e+01 
 3.98107171e+05  2.00046894e+01 
 5.01187234e+05  1.80079900e+01 
 6.30957344e+05  1.60128056e+01 
 7.94328235e+05  1.40201684e+01 
 1.00000000e+06  1.20316492e+01 
 1.25892541e+06  1.00496796e+01 
 1.58489319e+06  8.07803508e+00 
 1.99526231e+06  6.12254505e+00 
 2.51188643e+06  4.19209257e+00 
 3.16227766e+06  2.29990778e+00 
 3.98107171e+06  4.64972094e-01 
 5.01187234e+06 -1.28705760e+00 
 6.30957344e+06 -2.92462727e+00 
 7.94328235e+06 -4.41446992e+00 
 1.00000000e+07 -5.73021385e+00 
 1.25892541e+07 -6.86340843e+00 
 1.58489319e+07 -7.82962962e+00 
 1.99526231e+07 -8.65309584e+00 
 2.51188643e+07 -9.27587213e+00 
 3.16227766e+07 -9.19490849e+00 
 3.98107171e+07 -6.88209768e+00 
 5.01187234e+07 -1.79558254e+00 
 6.30957344e+07  2.05091664e+00 
 7.94328235e+07  1.57124991e+00 
 1.00000000e+08  3.82078774e-01 
 1.25892541e+08  4.61210371e-01 
 1.58489319e+08  1.71625466e+00 
 1.99526231e+08  3.25451653e+00 
 2.51188643e+08  4.65505089e+00 
 3.16227766e+08  5.81542938e+00 
 3.98107171e+08  6.72931992e+00 
 5.01187234e+08  7.40738663e+00 
 6.30957344e+08  7.85730944e+00 
 7.94328235e+08  8.08129577e+00 
 1.00000000e+09  8.07701005e+00 
 frequency       gain_db        
 1.00000000e+00  3.62950736e+01 
 1.25892541e+00  3.62950736e+01 
 1.58489319e+00  3.62950736e+01 
 1.99526231e+00  3.62950735e+01 
 2.51188643e+00  3.62950735e+01 
 3.16227766e+00  3.62950735e+01 
 3.98107171e+00  3.62950735e+01 
 5.01187234e+00  3.62950735e+01 
 6.30957344e+00  3.62950735e+01 
 7.94328235e+00  3.62950735e+01 
 1.00000000e+01  3.62950735e+01 
 1.25892541e+01  3.62950734e+01 
 1.58489319e+01  3.62950733e+01 
 1.99526231e+01  3.62950732e+01 
 2.51188643e+01  3.62950730e+01 
 3.16227766e+01  3.62950726e+01 
 3.98107171e+01  3.62950721e+01 
 5.01187234e+01  3.62950712e+01 
 6.30957344e+01  3.62950698e+01 
 7.94328235e+01  3.62950677e+01 
 1.00000000e+02  3.62950642e+01 
 1.25892541e+02  3.62950588e+01 
 1.58489319e+02  3.62950501e+01 
 1.99526231e+02  3.62950364e+01 
 2.51188643e+02  3.62950147e+01 
 3.16227766e+02  3.62949803e+01 
 3.98107171e+02  3.62949258e+01 
 5.01187234e+02  3.62948393e+01 
 6.30957344e+02  3.62947024e+01 
 7.94328235e+02  3.62944853e+01 
 1.00000000e+03  3.62941413e+01 
 1.25892541e+03  3.62935960e+01 
 1.58489319e+03  3.62927321e+01 
 1.99526231e+03  3.62913632e+01 
 2.51188643e+03  3.62891945e+01 
 3.16227766e+03  3.62857595e+01 
 3.98107171e+03  3.62803210e+01 
 5.01187234e+03  3.62717155e+01 
 6.30957344e+03  3.62581116e+01 
 7.94328235e+03  3.62366376e+01 
 1.00000000e+04  3.62028195e+01 
 1.25892541e+04  3.61497549e+01 
 1.58489319e+04  3.60669583e+01 
 1.99526231e+04  3.59388841e+01 
 2.51188643e+04  3.57433317e+01 
 3.16227766e+04  3.54503805e+01 
 3.98107171e+04  3.50231196e+01 
 5.01187234e+04  3.44218184e+01 
 6.30957344e+04  3.36122355e+01 
 7.94328235e+04  3.25757849e+01 
 1.00000000e+05  3.13161693e+01 
 1.25892541e+05  2.98580069e+01 
 1.58489319e+05  2.82384311e+01 
 1.99526231e+05  2.64970467e+01 
 2.51188643e+05  2.46688834e+01 
 3.16227766e+05  2.27815029e+01 
 3.98107171e+05  2.08550470e+01 
 5.01187234e+05  1.89036250e+01 
 6.30957344e+05  1.69369890e+01 
 7.94328235e+05  1.49620355e+01 
 1.00000000e+06  1.29840329e+01 
 1.25892541e+06  1.10076381e+01 
 1.58489319e+06  9.03782097e+00 
 1.99526231e+06  7.08082766e+00 
 2.51188643e+06  5.14530166e+00 
 3.16227766e+06  3.24362988e+00 
 3.98107171e+06  1.39344364e+00 
 5.01187234e+06 -3.81105952e-01 
 6.30957344e+06 -2.04922517e+00 
 7.94328235e+06 -3.57604950e+00 
 1.00000000e+07 -4.92938446e+00 
 1.25892541e+07 -6.09009944e+00 
 1.58489319e+07 -7.06158581e+00 
 1.99526231e+07 -7.86945759e+00 
 2.51188643e+07 -8.53519663e+00 
 3.16227766e+07 -8.96542152e+00 
 3.98107171e+07 -8.55345445e+00 
 5.01187234e+07 -5.75997982e+00 
 6.30957344e+07 -1.65343560e+00 
 7.94328235e+07 -2.56133391e+00 
 1.00000000e+08 -5.72645174e+00 
 1.25892541e+08 -7.52216514e+00 
 1.58489319e+08 -6.47562105e+00 
 1.99526231e+08 -4.62326481e+00 
 2.51188643e+08 -2.86374146e+00 
 3.16227766e+08 -1.26112355e+00 
 3.98107171e+08  2.27577115e-01 
 5.01187234e+08  1.60238842e+00 
 6.30957344e+08  2.82157676e+00 
 7.94328235e+08  3.82472954e+00 
 1.00000000e+09  4.54990204e+00 
 frequency       gain_db        
 1.00000000e+00  3.65069249e+01 
 1.25892541e+00  3.65069249e+01 
 1.58489319e+00  3.65069249e+01 
 1.99526231e+00  3.65069249e+01 
 2.51188643e+00  3.65069249e+01 
 3.16227766e+00  3.65069249e+01 
 3.98107171e+00  3.65069249e+01 
 5.01187234e+00  3.65069249e+01 
 6.30957344e+00  3.65069249e+01 
 7.94328235e+00  3.65069249e+01 
 1.00000000e+01  3.65069248e+01 
 1.25892541e+01  3.65069248e+01 
 1.58489319e+01  3.65069247e+01 
 1.99526231e+01  3.65069245e+01 
 2.51188643e+01  3.65069242e+01 
 3.16227766e+01  3.65069238e+01 
 3.98107171e+01  3.65069232e+01 
 5.01187234e+01  3.65069222e+01 
 6.30957344e+01  3.65069206e+01 
 7.94328235e+01  3.65069181e+01 
 1.00000000e+02  3.65069142e+01 
 1.25892541e+02  3.65069079e+01 
 1.58489319e+02  3.65068980e+01 
 1.99526231e+02  3.65068822e+01 
 2.51188643e+02  3.65068572e+01 
 3.16227766e+02  3.65068176e+01 
