 v-sweep         v(out)          v-sweep         v(outpl)        v-sweep         deriv(v(out))   v-sweep         deriv(v(outpl))
 9.00150000e-01  9.45241477e-01  9.00150000e-01  9.58528451e-01  9.00150000e-01  2.40514450e+02  9.00150000e-01  2.17360792e+02 
 9.00160000e-01  9.47621726e-01  9.00160000e-01  9.60681759e-01  9.00160000e-01  2.35657809e+02  9.00160000e-01  2.13359345e+02 
 9.00170000e-01  9.49954633e-01  9.00170000e-01  9.62795638e-01  9.00170000e-01  2.31004491e+02  9.00170000e-01  2.09485258e+02 
 9.00180000e-01  9.52241816e-01  9.00180000e-01  9.64871465e-01  9.00180000e-01  2.26501671e+02  9.00180000e-01  2.05890418e+02 
 9.00190000e-01  9.54484667e-01  9.00190000e-01  9.66913446e-01  9.00190000e-01  2.22161244e+02  9.00190000e-01  2.02132076e+02 
 9.00200000e-01  9.56685041e-01  9.00200000e-01  9.68914106e-01  9.00200000e-01  2.17983857e+02  9.00200000e-01  1.98496969e+02 
 9.00210000e-01  9.58844344e-01  9.00210000e-01  9.70883385e-01  9.00210000e-01  2.13946484e+02  9.00210000e-01  1.95405358e+02 
 9.00220000e-01  9.60963970e-01  9.00220000e-01  9.72822213e-01  9.00220000e-01  2.10053736e+02  9.00220000e-01  1.92009945e+02 
 9.00230000e-01  9.63045419e-01  9.00230000e-01  9.74723584e-01  9.00230000e-01  2.06294747e+02  9.00230000e-01  1.88721286e+02 
 9.00240000e-01  9.65089865e-01  9.00240000e-01  9.76596639e-01  9.00240000e-01  2.02667881e+02  9.00240000e-01  1.85804520e+02 
 9.00250000e-01  9.67098776e-01  9.00250000e-01  9.78439675e-01  9.00250000e-01  1.99159967e+02  9.00250000e-01  1.82850284e+02 
 9.00260000e-01  9.69073065e-01  9.00260000e-01  9.80253645e-01  9.00260000e-01  1.95769279e+02  9.00260000e-01  1.79989261e+02 
 9.00270000e-01  9.71014162e-01  9.00270000e-01  9.82039460e-01  9.00270000e-01  1.92493670e+02  9.00270000e-01  1.77217368e+02 
 9.00280000e-01  9.72922938e-01  9.00280000e-01  9.83797992e-01  9.00280000e-01  1.89320893e+02  9.00280000e-01  1.74530743e+02 
 9.00290000e-01  9.74800580e-01  9.00290000e-01  9.85530075e-01  9.00290000e-01  1.86261965e+02  9.00290000e-01  1.71925728e+02 
 9.00300000e-01  9.76648177e-01  9.00300000e-01  9.87236507e-01  9.00300000e-01  1.83289219e+02  9.00300000e-01  1.69398858e+02 
 9.00310000e-01  9.78466364e-01  9.00310000e-01  9.88918052e-01  9.00310000e-01  1.80403227e+02  9.00310000e-01  1.66946836e+02 
 9.00320000e-01  9.80256242e-01  9.00320000e-01  9.90575443e-01  9.00320000e-01  1.77620154e+02  9.00320000e-01  1.64573158e+02 
 9.00330000e-01  9.82018767e-01  9.00330000e-01  9.92209515e-01  9.00330000e-01  1.74922677e+02  9.00330000e-01  1.62254966e+02 
 9.00340000e-01  9.83754696e-01  9.00340000e-01  9.93820543e-01  9.00340000e-01  1.72304538e+02  9.00340000e-01  1.60002704e+02 
 9.00350000e-01  9.85464858e-01  9.00350000e-01  9.95409569e-01  9.00350000e-01  1.69764080e+02  9.00350000e-01  1.57826960e+02 
 9.00360000e-01  9.87149977e-01  9.00360000e-01  9.96977082e-01  9.00360000e-01  1.67293865e+02  9.00360000e-01  1.55705281e+02 
 9.00370000e-01  9.88810735e-01  9.00370000e-01  9.98523675e-01  9.00370000e-01  1.64899303e+02  9.00370000e-01  1.53659237e+02 
 9.00380000e-01  9.90447963e-01  9.00380000e-01  1.00005027e+00  9.00380000e-01  1.62576538e+02  9.00380000e-01  1.51634493e+02 
 9.00390000e-01  9.92062266e-01  9.00390000e-01  1.00155636e+00  9.00390000e-01  1.60320784e+02  9.00390000e-01  1.49712233e+02 
