 time            v(out)          time            v(outpl)       
 1.73280000e-03  9.33198014e-01  1.73280000e-03  9.47708394e-01 
 1.74280000e-03  9.33342029e-01  1.74280000e-03  9.47837380e-01 
 1.75280000e-03  9.33485579e-01  1.75280000e-03  9.47965980e-01 
 1.76280000e-03  9.33628669e-01  1.76280000e-03  9.48094194e-01 
 1.77280000e-03  9.33771337e-01  1.77280000e-03  9.48222020e-01 
 1.78280000e-03  9.33913568e-01  1.78280000e-03  9.48349460e-01 
 1.79280000e-03  9.34055349e-01  1.79280000e-03  9.48476512e-01 
 1.80280000e-03  9.34196669e-01  1.80280000e-03  9.48603176e-01 
 1.81280000e-03  9.34337543e-01  1.81280000e-03  9.48729454e-01 
 1.82280000e-03  9.34477970e-01  1.82280000e-03  9.48855343e-01 
 1.83280000e-03  9.34617957e-01  1.83280000e-03  9.48980845e-01 
 1.84280000e-03  9.34757505e-01  1.84280000e-03  9.49105958e-01 
 1.85280000e-03  9.34896612e-01  1.85280000e-03  9.49230683e-01 
 1.86280000e-03  9.35035262e-01  1.86280000e-03  9.49355021e-01 
 1.87280000e-03  9.35173446e-01  1.87280000e-03  9.49478969e-01 
 1.88280000e-03  9.35311220e-01  1.88280000e-03  9.49602529e-01 
 1.89280000e-03  9.35448540e-01  1.89280000e-03  9.49725701e-01 
 1.90280000e-03  9.35585402e-01  1.90280000e-03  9.49848483e-01 
 1.91280000e-03  9.35721822e-01  1.91280000e-03  9.49970877e-01 
 1.92280000e-03  9.35857779e-01  1.92280000e-03  9.50092881e-01 
 1.93280000e-03  9.35993297e-01  1.93280000e-03  9.50214496e-01 
 1.94280000e-03  9.36128375e-01  1.94280000e-03  9.50335722e-01 
 1.95280000e-03  9.36263029e-01  1.95280000e-03  9.50456558e-01 
 1.96280000e-03  9.36397230e-01  1.96280000e-03  9.50577005e-01 
 1.97280000e-03  9.36530974e-01  1.97280000e-03  9.50697061e-01 
 1.98280000e-03  9.36664271e-01  1.98280000e-03  9.50816729e-01 
 1.99280000e-03  9.36797119e-01  1.99280000e-03  9.50936006e-01 
 2.00280000e-03  9.36929525e-01  2.00280000e-03  9.51054892e-01 
 2.01280000e-03  9.37061477e-01  2.01280000e-03  9.51173389e-01 
 2.02280000e-03  9.37192971e-01  2.02280000e-03  9.51291495e-01 
 2.03280000e-03  9.37324020e-01  2.03280000e-03  9.51409211e-01 
 2.04280000e-03  9.37454642e-01  2.04280000e-03  9.51526537e-01 
 2.05280000e-03  9.37584800e-01  2.05280000e-03  9.51643471e-01 
 2.06280000e-03  9.37714489e-01  2.06280000e-03  9.51760015e-01 
 2.07280000e-03  9.37843767e-01  2.07280000e-03  9.51876168e-01 
 2.08280000e-03  9.37972605e-01  2.08280000e-03  9.51991930e-01 
 2.09280000e-03  9.38100973e-01  2.09280000e-03  9.52107301e-01 
 2.10280000e-03  9.38228902e-01  2.10280000e-03  9.52222281e-01 
 2.11280000e-03  9.38356383e-01  2.11280000e-03  9.52336870e-01 
 2.12280000e-03  9.38483405e-01  2.12280000e-03  9.52451067e-01 
 2.13280000e-03  9.38609978e-01  2.13280000e-03  9.52564873e-01 
 2.14280000e-03  9.38736127e-01  2.14280000e-03  9.52678288e-01 
 2.15280000e-03  9.38861832e-01  2.15280000e-03  9.52791310e-01 
 2.16280000e-03  9.38987078e-01  2.16280000e-03  9.52903941e-01 
 2.17280000e-03  9.39111876e-01  2.17280000e-03  9.53016181e-01 
 2.18280000e-03  9.39236250e-01  2.18280000e-03  9.53128028e-01 
 2.19280000e-03  9.39360167e-01  2.19280000e-03  9.53239483e-01 
 2.20280000e-03  9.39483618e-01  2.20280000e-03  9.53350547e-01 
 2.21280000e-03  9.39606637e-01  2.21280000e-03  9.53461218e-01 
 2.22280000e-03  9.39729194e-01  2.22280000e-03  9.53571497e-01 
 2.23280000e-03  9.39851293e-01  2.23280000e-03  9.53681384e-01 
 2.24280000e-03  9.39972949e-01  2.24280000e-03  9.53790878e-01 
 2.25280000e-03  9.40094175e-01  2.25280000e-03  9.53899980e-01 
 2.26280000e-03  9.40214974e-01  2.26280000e-03  9.54008690e-01 
 2.27280000e-03  9.40335320e-01  2.27280000e-03  9.54117006e-01 
 2.28280000e-03  9.40455213e-01  2.28280000e-03  9.54224931e-01 
 2.29280000e-03  9.40574664e-01  2.29280000e-03  9.54332462e-01 
 2.30280000e-03  9.40693669e-01  2.30280000e-03  9.54439601e-01 
 2.31280000e-03  9.40812215e-01  2.31280000e-03  9.54546347e-01 
 2.32280000e-03  9.40930307e-01  2.32280000e-03  9.54652700e-01 
 2.33280000e-03  9.41047956e-01  2.33280000e-03  9.54758660e-01 
 2.34280000e-03  9.41165152e-01  2.34280000e-03  9.54864228e-01 
 2.35280000e-03  9.41281930e-01  2.35280000e-03  9.54969401e-01 
 2.36280000e-03  9.41398281e-01  2.36280000e-03  9.55074182e-01 
 2.37280000e-03  9.41514169e-01  2.37280000e-03  9.55178570e-01 
 2.38280000e-03  9.41629611e-01  2.38280000e-03  9.55282564e-01 
 2.39280000e-03  9.41744592e-01  2.39280000e-03  9.55386166e-01 
 2.40280000e-03  9.41859114e-01  2.40280000e-03  9.55489373e-01 
 2.41280000e-03  9.41973203e-01  2.41280000e-03  9.55592188e-01 
 2.42280000e-03  9.42086850e-01  2.42280000e-03  9.55694609e-01 
 2.43280000e-03  9.42200039e-01  2.43280000e-03  9.55796636e-01 
 2.44280000e-03  9.42312807e-01  2.44280000e-03  9.55898269e-01 
 2.45280000e-03  9.42425122e-01  2.45280000e-03  9.55999509e-01 
 2.46280000e-03  9.42536968e-01  2.46280000e-03  9.56100356e-01 
 2.47280000e-03  9.42648380e-01  2.47280000e-03  9.56200809e-01 
 2.48280000e-03  9.42759346e-01  2.48280000e-03  9.56300868e-01 
 2.49280000e-03  9.42869851e-01  2.49280000e-03  9.56400533e-01 
 2.50280000e-03  9.42979920e-01  2.50280000e-03  9.56499804e-01 
 2.51280000e-03  9.43089562e-01  2.51280000e-03  9.56598682e-01 
 2.52280000e-03  9.43198765e-01  2.52280000e-03  9.56697165e-01 
 2.53280000e-03  9.43307522e-01  2.53280000e-03  9.56795255e-01 
 2.54280000e-03  9.43415812e-01  2.54280000e-03  9.56892951e-01 
 2.55280000e-03  9.43523647e-01  2.55280000e-03  9.56990252e-01 
 2.56280000e-03  9.43631056e-01  2.56280000e-03  9.57087160e-01 
 2.57280000e-03  9.43738027e-01  2.57280000e-03  9.57183673e-01 
 2.58280000e-03  9.43844530e-01  2.58280000e-03  9.57279792e-01 
 2.59280000e-03  9.43950581e-01  2.59280000e-03  9.57375517e-01 
 2.60280000e-03  9.44056203e-01  2.60280000e-03  9.57470848e-01 
 2.61280000e-03  9.44161379e-01  2.61280000e-03  9.57565785e-01 
 2.62280000e-03  9.44266108e-01  2.62280000e-03  9.57660327e-01 
 2.63280000e-03  9.44370406e-01  2.63280000e-03  9.57754475e-01 
 2.64280000e-03  9.44474262e-01  2.64280000e-03  9.57848229e-01 
 2.65280000e-03  9.44577675e-01  2.65280000e-03  9.57941588e-01 
 2.66280000e-03  9.44680646e-01  2.66280000e-03  9.58034553e-01 
 2.67280000e-03  9.44783147e-01  2.67280000e-03  9.58127123e-01 
 2.68280000e-03  9.44885216e-01  2.68280000e-03  9.58219300e-01 
 2.69280000e-03  9.44986837e-01  2.69280000e-03  9.58311081e-01 
 2.70280000e-03  9.45088001e-01  2.70280000e-03  9.58402468e-01 
 2.71280000e-03  9.45188734e-01  2.71280000e-03  9.58493461e-01 
 2.72280000e-03  9.45289035e-01  2.72280000e-03  9.58584059e-01 
 2.73280000e-03  9.45388927e-01  2.73280000e-03  9.58674263e-01 
 2.74280000e-03  9.45488362e-01  2.74280000e-03  9.58764072e-01 
 2.75280000e-03  9.45587326e-01  2.75280000e-03  9.58853486e-01 
 2.76280000e-03  9.45685824e-01  2.76280000e-03  9.58942506e-01 
 2.77280000e-03  9.45783900e-01  2.77280000e-03  9.59031131e-01 
 2.78280000e-03  9.45881538e-01  2.78280000e-03  9.59119361e-01 
 2.79280000e-03  9.45978689e-01  2.79280000e-03  9.59207197e-01 
 2.80280000e-03  9.46075406e-01  2.80280000e-03  9.59294638e-01 
 2.81280000e-03  9.46171701e-01  2.81280000e-03  9.59381685e-01 
 2.82280000e-03  9.46267556e-01  2.82280000e-03  9.59468337e-01 
 2.83280000e-03  9.46362973e-01  2.83280000e-03  9.59554593e-01 
 2.84280000e-03  9.46457962e-01  2.84280000e-03  9.59640456e-01 
 2.85280000e-03  9.46552490e-01  2.85280000e-03  9.59725923e-01 
 2.86280000e-03  9.46646582e-01  2.86280000e-03  9.59810996e-01 
 2.87280000e-03  9.46740242e-01  2.87280000e-03  9.59895674e-01 
 2.88280000e-03  9.46833438e-01  2.88280000e-03  9.59979957e-01 
 2.89280000e-03  9.46926186e-01  2.89280000e-03  9.60063846e-01 
 2.90280000e-03  9.47018481e-01  2.90280000e-03  9.60147339e-01 
 2.91280000e-03  9.47110350e-01  2.91280000e-03  9.60230438e-01 
 2.92280000e-03  9.47201801e-01  2.92280000e-03  9.60313142e-01 
 2.93280000e-03  9.47292789e-01  2.93280000e-03  9.60395451e-01 
 2.94280000e-03  9.47383318e-01  2.94280000e-03  9.60477365e-01 
 2.95280000e-03  9.47473438e-01  2.95280000e-03  9.60558884e-01 
 2.96280000e-03  9.47563123e-01  2.96280000e-03  9.60640009e-01 
 2.97280000e-03  9.47652339e-01  2.97280000e-03  9.60720739e-01 
 2.98280000e-03  9.47741115e-01  2.98280000e-03  9.60801073e-01 
 2.99280000e-03  9.47829449e-01  2.99280000e-03  9.60881013e-01 
 3.00280000e-03  9.47917336e-01  3.00280000e-03  9.60960558e-01 
 3.01280000e-03  9.48004777e-01  3.01280000e-03  9.61039709e-01 
 3.02280000e-03  9.48091778e-01  3.02280000e-03  9.61118464e-01 
 3.03280000e-03  9.48178340e-01  3.03280000e-03  9.61196824e-01 
 3.04280000e-03  9.48264454e-01  3.04280000e-03  9.61274790e-01 
 3.05280000e-03  9.48350130e-01  3.05280000e-03  9.61352361e-01 
 3.06280000e-03  9.48435339e-01  3.06280000e-03  9.61429536e-01 
 3.07280000e-03  9.48520115e-01  3.07280000e-03  9.61506317e-01 
 3.08280000e-03  9.48604505e-01  3.08280000e-03  9.61582703e-01 
 3.09280000e-03  9.48688448e-01  3.09280000e-03  9.61658694e-01 
 3.10280000e-03  9.48771919e-01  3.10280000e-03  9.61734291e-01 
 3.11280000e-03  9.48854937e-01  3.11280000e-03  9.61809492e-01 
 3.12280000e-03  9.48937511e-01  3.12280000e-03  9.61884298e-01 
 3.13280000e-03  9.49019672e-01  3.13280000e-03  9.61958710e-01 
 3.14280000e-03  9.49101409e-01  3.14280000e-03  9.62032727e-01 
 3.15280000e-03  9.49182686e-01  3.15280000e-03  9.62106348e-01 
 3.16280000e-03  9.49263537e-01  3.16280000e-03  9.62179575e-01 
 3.17280000e-03  9.49343920e-01  3.17280000e-03  9.62252407e-01 
 3.18280000e-03  9.49423819e-01  3.18280000e-03  9.62324845e-01 
 3.19280000e-03  9.49503306e-01  3.19280000e-03  9.62396887e-01 
 3.20280000e-03  9.49582381e-01  3.20280000e-03  9.62468534e-01 
 3.21280000e-03  9.49661006e-01  3.21280000e-03  9.62539787e-01 
 3.22280000e-03  9.49739185e-01  3.22280000e-03  9.62610645e-01 
 3.23280000e-03  9.49816932e-01  3.23280000e-03  9.62681108e-01 
 3.24280000e-03  9.49894257e-01  3.24280000e-03  9.62751176e-01 
 3.25280000e-03  9.49971144e-01  3.25280000e-03  9.62820849e-01 
 3.26280000e-03  9.50047551e-01  3.26280000e-03  9.62890128e-01 
 3.27280000e-03  9.50123514e-01  3.27280000e-03  9.62959011e-01 
 3.28280000e-03  9.50199054e-01  3.28280000e-03  9.63027500e-01 
 3.29280000e-03  9.50274176e-01  3.29280000e-03  9.63095594e-01 
 3.30280000e-03  9.50348862e-01  3.30280000e-03  9.63163293e-01 
 3.31280000e-03  9.50423085e-01  3.31280000e-03  9.63230598e-01 
 3.32280000e-03  9.50496876e-01  3.32280000e-03  9.63297508e-01 
 3.33280000e-03  9.50570253e-01  3.33280000e-03  9.63364022e-01 
 3.34280000e-03  9.50643172e-01  3.34280000e-03  9.63430143e-01 
 3.35280000e-03  9.50715645e-01  3.35280000e-03  9.63495868e-01 
 3.36280000e-03  9.50787684e-01  3.36280000e-03  9.63561199e-01 
 3.37280000e-03  9.50859269e-01  3.37280000e-03  9.63626135e-01 
 3.38280000e-03  9.50930425e-01  3.38280000e-03  9.63690676e-01 
 3.39280000e-03  9.51001159e-01  3.39280000e-03  9.63754823e-01 
 3.40280000e-03  9.51071450e-01  3.40280000e-03  9.63818575e-01 
 3.41280000e-03  9.51141304e-01  3.41280000e-03  9.63881932e-01 
 3.42280000e-03  9.51210694e-01  3.42280000e-03  9.63944894e-01 
 3.43280000e-03  9.51279639e-01  3.43280000e-03  9.64007462e-01 
 3.44280000e-03  9.51348170e-01  3.44280000e-03  9.64069635e-01 
 3.45280000e-03  9.51416271e-01  3.45280000e-03  9.64131414e-01 
 3.46280000e-03  9.51483931e-01  3.46280000e-03  9.64192798e-01 
 3.47280000e-03  9.51551140e-01  3.47280000e-03  9.64253787e-01 
 3.48280000e-03  9.51617909e-01  3.48280000e-03  9.64314382e-01 
 3.49280000e-03  9.51684223e-01  3.49280000e-03  9.64374582e-01 
 3.50280000e-03  9.51750105e-01  3.50280000e-03  9.64434388e-01 
 3.51280000e-03  9.51815579e-01  3.51280000e-03  9.64493799e-01 
 3.52280000e-03  9.51880617e-01  3.52280000e-03  9.64552815e-01 
